Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
SelfRegulationSCP2	0.01	12	1	MV	0.989972	35639	361	9.037	0.009	0.049	0.029	0.087	103.874
SelfRegulationSCP2	0.01	12	1	MC1	0.99	35640	360	9.037	0.005	0.021	0.04	0.066	136.924
SelfRegulationSCP2	0.01	12	1	MC2	0.99	35640	360	9.037	0.014	0.102	0.038	0.154	58.6818

StandWalkJump	0.01	25	1	MV	0.833333	150	30	0.152	0.001	0.001	0.013	0.015	10.1333
StandWalkJump	0.01	25	1	MC1	0.833333	150	30	0.152	0	0	0.014	0.014	10.8571
StandWalkJump	0.01	25	1	MC2	0.833333	150	30	0.152	0.001	0	0.015	0.016	9.5

UWaveGestureLibrary	0.01	4	1	MV	0.983307	37759	641	0.757	0.004	0.007	0.006	0.017	44.5294
UWaveGestureLibrary	0.01	4	1	MC1	0.980781	37662	738	0.757	0.001	0.01	0.005	0.016	47.3125
UWaveGestureLibrary	0.01	4	1	MC2	0.982943	37745	655	0.757	0.002	0.024	0.004	0.03	25.2333

Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
ArticularyWordRecognition	0.1	15	1	MV	0.989673	81648	852	4.743	0.01	0.037	0.01	0.057	83.2105
ArticularyWordRecognition	0.1	15	1	MC1	0.919152	75830	6670	4.743	0.006	0.02	0.009	0.035	135.514
ArticularyWordRecognition	0.1	15	1	MC2	0.961891	79356	3144	4.743	0.003	0.05	0.009	0.062	76.5

AtrialFibrillation	0.1	64	1	MV	0.76	171	54	0.105	0	0	0.008	0.008	13.125
AtrialFibrillation	0.1	64	1	MC1	0.84	189	36	0.105	0	0	0.008	0.008	13.125
AtrialFibrillation	0.1	64	1	MC2	0.866667	195	30	0.105	0	0.001	0.007	0.008	13.125

BasicMotions	0.1	10	1	MV	0.91625	1466	134	0.021	0	0.003	0	0.003	7
BasicMotions	0.1	10	1	MC1	0.61125	978	622	0.021	0	0	0.001	0.001	21
BasicMotions	0.1	10	1	MC2	0.7775	1244	356	0.021	0	0.002	0	0.002	10.5

Cricket	0.1	120	1	MV	0.972608	7563	213	13.146	0.009	0.024	0.123	0.156	84.2692
Cricket	0.1	120	1	MC1	0.929398	7227	549	13.146	0.004	0.008	0.127	0.139	94.5755
Cricket	0.1	120	1	MC2	0.955761	7432	344	13.146	0.006	0.018	0.131	0.155	84.8129

DuckDuckGeese	0.1	27	1	MV	0.9596	2399	101	48.393	0.349	0.333	1.017	1.699	28.4832
DuckDuckGeese	0.1	27	1	MC1	0.7212	1803	697	48.393	0.042	0.003	1.046	1.091	44.3566
